"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
3.814355010E-1	1.956062794E0	-3.016694188E-1	1.037198067E1	1.055912729E1
3.834354670E-1	1.838746905E0	-2.944868207E-1	1.037676907E1	1.054253522E1
3.854354330E-1	1.704671621E0	-2.729389966E-1	1.041747093E1	1.055955026E1
3.874362660E-1	1.580173135E0	-2.513911724E-1	1.046535492E1	1.058696360E1
3.894370990E-1	1.453280449E0	-2.250549644E-1	1.052281570E1	1.062507996E1
3.914379320E-1	1.340752959E0	-1.963245422E-1	1.056830597E1	1.065482299E1
3.934387980E-1	1.240196466E0	-1.699883193E-1	1.060182476E1	1.067547055E1
3.954388310E-1	1.149216771E0	-1.460463107E-1	1.061858368E1	1.068158921E1
3.974385970E-1	1.060631394E0	-1.244984865E-1	1.061858368E1	1.067214871E1
3.994386300E-1	9.840168953E-1	-1.029506698E-1	1.061379528E1	1.065980949E1
4.014386630E-1	9.121908545E-1	-7.422025502E-2	1.060182476E1	1.064125411E1
4.034386960E-1	8.403648138E-1	-4.309562966E-2	1.059703636E1	1.063039274E1
4.054387290E-1	7.781155705E-1	-1.197100803E-2	1.059224796E1	1.062079677E1
4.074378950E-1	6.751648784E-1	4.070143029E-2	1.061140156E1	1.063293691E1
4.094380280E-1	5.482721925E-1	1.053448766E-1	1.064492035E1	1.065955108E1
4.114379940E-1	4.525041282E-1	1.699883193E-1	1.066407394E1	1.067502361E1
4.134379600E-1	3.926490843E-1	2.442085743E-1	1.065928555E1	1.066931017E1
4.154379260E-1	3.687070608E-1	3.232172430E-1	1.065210247E1	1.066338133E1
4.174378920E-1	3.711012602E-1	3.926490843E-1	1.064252567E1	1.065623020E1
4.194378580E-1	4.022258818E-1	4.381389022E-1	1.062576675E1	1.064239966E1
4.214378240E-1	4.237737060E-1	4.644751251E-1	1.058267117E1	1.060133248E1
4.234377900E-1	4.333505034E-1	4.764461517E-1	1.052999878E1	1.054967620E1
4.254377900E-1	4.285621047E-1	4.596867263E-1	1.045098972E1	1.046986932E1
4.274386900E-1	4.285621047E-1	4.165911078E-1	1.035282707E1	1.037006471E1
4.294395900E-1	4.357447028E-1	3.663128614E-1	1.025945377E1	1.027523480E1
4.314404900E-1	4.596867263E-1	2.968810201E-1	1.015889740E1	1.017362505E1
4.334405900E-1	4.932055473E-1	2.130839527E-1	1.005834103E1	1.007267992E1
4.354406230E-1	5.219359994E-1	1.340752989E-1	9.969755173E0	9.984308267E0
4.374406560E-1	5.530605912E-1	6.224924326E-2	9.893140793E0	9.908783262E0
4.394406890E-1	5.865794420E-1	0.000000000E0	9.840468407E0	9.857935580E0
4.414407890E-1	6.129156351E-1	-5.506663769E-2	9.806949615E0	9.826238277E0
4.434407890E-1	6.272808313E-1	-1.029506698E-1	9.799766541E0	9.820361721E0
4.454407890E-1	6.296750307E-1	-1.388636976E-1	9.811738014E0	9.832902757E0
